realtime,framenum,rendertime(ms),fps,GPUUtil(%)
7.262538,427,8.2491,30.014518,51
7.27874,428,6.9731,29.974432,51
7.297129,429,6.7905,29.963822,51
7.31222,430,5.8836,29.965812,51
7.329327,431,7.4653,30.027487,51
7.346809,432,5.9715,29.954765,51
7.36295,433,8.3588,29.994076,51
7.379016,434,6.919,29.997345,51
7.396478,435,6.2959,29.997042,51
7.412531,436,5.0325,29.990682,51
7.429719,437,7.7055,29.973123,51
7.446206,438,7.1608,29.972114,51
7.462867,439,5.6929,29.984019,51
7.479729,440,5.1462,29.945732,51
7.496053,441,6.8021,29.988209,51
7.513022,442,5.7389,29.973659,51
7.530487,443,7.1855,29.953228,51
7.545822,444,7.0496,29.977855,51
7.563606,445,5.8073,29.971096,50
7.579228,446,6.8925,29.962421,50
7.596749,447,5.8639,29.969353,50
7.612534,448,7.0853,29.997081,50
7.630404,449,8.4182,29.971192,50
7.645958,450,6.9383,29.982835,50
7.663453,451,8.3331,29.97906,50
7.679335,452,6.3534,29.993938,50
7.697468,453,6.8625,29.959031,50
7.712378,454,7.1369,30.004369,50
7.729163,455,7.3963,30.064693,50
7.745749,456,5.3419,29.989782,50
7.7642,457,8.2336,29.95609,50
7.779237,458,5.7783,29.981265,50
7.796639,459,6.3278,29.995459,50
7.813277,460,5.7074,29.974516,50
7.830401,461,7.2768,30.005866,50
7.845939,462,6.8592,29.971575,50
7.863218,463,6.0925,29.995345,50
7.877795,464,4.6471,30.012797,50
7.896278,465,7.1094,29.989405,50
7.912064,466,6.1167,30.025759,50
7.930459,467,6.4978,29.997228,50
7.945664,468,5.6492,30.008654,50
7.963574,469,6.5068,29.981385,51
7.979115,470,6.72,29.994808,51
7.996167,471,5.7896,30.005446,51
8.013506,472,7.358,29.952947,51
8.030302,473,7.045,29.967075,51
8.046296,474,4.9712,29.976633,51
8.063287,475,6.9489,29.993749,51
8.080268,476,5.3921,29.973563,51
8.096948,477,5.8,30.001791,51
8.112642,478,6.5205,29.98101,51
8.130011,479,8.33,29.981882,51
8.146539,480,5.7975,29.97613,51
8.163881,481,6.1837,29.997132,50
8.179453,482,6.1803,29.995957,50
8.196809,483,5.4864,29.989465,50
8.212631,484,6.5995,30.028894,50
8.230787,485,6.7421,29.98808,50
8.246571,486,6.085,29.983698,50
8.263204,487,7.9801,29.985109,50
8.279374,488,6.1379,29.982346,50
8.297099,489,7.8435,29.994952,50
8.312957,490,6.6632,29.979803,50
8.330559,491,7.2039,29.956509,50
8.346639,492,4.766,30.000012,50
8.364067,493,6.2016,29.977966,51
8.379476,494,6.0389,29.988293,51
8.396985,495,6.4329,29.98614,51
8.412871,496,7.4172,29.994148,51
8.430178,497,8.222,29.998158,51
8.445962,498,4.7822,30.007916,51
8.464461,499,6.7136,29.950949,51
8.479992,500,6.7769,29.983039,51
8.497112,501,7.8038,29.977538,51
8.513657,502,7.3382,29.982547,51
8.530522,503,7.2826,30.000315,51
8.547442,504,6.1137,29.950031,51
8.56475,505,8.4444,29.965049,51
8.57959,506,6.1841,29.991045,51
8.596785,507,7.3863,29.999538,51
8.613178,508,6.7508,29.980998,51
8.631009,509,8.0661,29.981055,51
8.646864,510,6.9005,29.971497,51
8.663648,511,7.6558,29.996688,51
8.679495,512,6.4799,29.990436,51
8.697989,513,5.939,29.987327,51
8.713025,514,5.8793,29.980108,51
8.730931,515,7.7984,29.948811,51
8.746582,516,6.414,29.977535,51
8.764021,517,7.8317,30.007346,51
8.780144,518,7.0145,29.974294,51
8.797175,519,8.0237,29.98611,51
8.813174,520,4.8716,30.013092,51
8.831395,521,8.0694,29.965459,51
8.846111,522,5.7088,29.996331,51
8.863715,523,7.8079,29.98805,51
8.8807,524,7.5507,29.946267,51
8.898269,525,8.1176,29.947024,51
8.91255,526,5.3235,29.981019,51
8.930774,527,6.5309,29.990001,51
8.946513,528,6.2277,29.964178,51
8.964133,529,7.8249,29.983983,51
8.979387,530,6.4492,29.993575,51
8.997682,531,6.7746,29.956321,51
25.160175,1491,15.3056,26.802231,54
25.176769,1492,4.846,26.807931,54
25.193695,1493,7.7421,26.806044,54
25.21054,1494,4.9884,26.797436,54
25.226644,1495,3.5165,26.835232,54
25.243694,1496,7.9793,26.803673,54
25.260201,1497,6.9679,26.809012,54
25.277515,1498,3.4839,26.792396,54
25.29408,1499,5.6307,26.792259,54
25.310921,1500,7.9267,26.816273,54
25.327632,1501,3.6023,26.786738,54
25.34396,1502,6.7968,26.79632,54
25.36111,1503,7.9121,26.786269,40
25.377242,1504,3.8981,26.798365,40
25.393543,1505,4.2112,26.806688,40
25.410927,1506,7.9268,26.788041,40
25.427092,1507,4.054,26.799277,40
25.443677,1508,4.9503,26.804152,40
25.460079,1509,4.7243,26.806252,40
25.477465,1510,3.4704,26.79169,40
25.493956,1511,2.8407,26.793659,40
25.51138,1512,3.1124,26.777447,40
25.527473,1513,9.9225,26.834764,40
25.545439,1514,3.9171,26.765924,40
25.561177,1515,4.0835,26.785791,40
25.577568,1516,4.3774,26.818828,40
25.593217,1517,7.5902,26.815932,40
25.611221,1518,17.4987,26.790953,40
25.629081,1519,5.6869,26.757652,40
25.643904,1520,3.1442,26.797824,40
25.66027,1521,4.83,26.809151,40
25.678047,1522,3.9683,26.791336,40
25.694489,1523,6.9557,26.811664,40
25.711057,1524,16.0554,26.792448,40
25.727762,1525,7.1841,26.793891,40
25.744522,1526,4.0832,26.807788,40
25.761516,1527,7.2216,26.789608,41
25.777419,1528,15.5013,26.797137,41
25.793774,1529,6.6377,26.805596,41
25.811073,1530,16.4031,26.793566,41
25.827889,1531,3.6548,26.805239,41
25.844686,1532,4.3078,26.786695,41
25.861062,1533,7.9591,26.793712,41
25.877423,1534,3.948,26.960861,41
25.894956,1535,2.863,26.905393,41
25.911646,1536,4.3113,27.254128,41
25.9285,1537,8.1078,28.015149,41
25.945491,1538,16.1878,28.724019,41
25.961834,1539,4.3744,29.544018,44
25.978119,1540,4.0596,30.043271,44
25.995577,1541,5.0848,29.975959,44
26.011994,1542,4.7705,29.950241,44
26.028185,1543,4.3991,29.960736,44
26.045229,1544,7.9186,29.96927,44
26.061061,1545,4.0765,30.004678,44
26.078425,1546,5.3001,29.972779,44
26.094366,1547,3.8317,30.018765,44
26.111446,1548,2.9992,29.974429,44
26.128195,1549,5.2345,29.966411,44
26.146314,1550,3.2849,29.934267,40
26.162007,1551,7.8007,29.944922,40
26.178367,1552,4.62,29.951168,40
26.195409,1553,5.1377,29.949131,40
26.21148,1554,4.6665,29.97206,40
26.228085,1555,7.771,29.957077,40
26.245491,1556,5.1614,29.943942,40
26.261769,1557,7.4249,29.950396,40
26.278604,1558,16.2853,29.970775,40
26.295326,1559,4.8663,29.963415,40
26.311166,1560,6.8333,29.989681,40
26.329258,1561,9.2398,29.957365,40
26.345203,1562,6.6286,29.964247,40
26.362154,1563,4.9287,29.966066,42
26.378502,1564,7.7493,29.962861,42
26.394865,1565,4.0756,29.956608,42
26.412475,1566,5.1585,29.958552,42
26.428517,1567,6.9513,29.956823,42
26.445518,1568,7.9489,29.948181,42
26.461854,1569,4.6394,29.948291,42
26.479348,1570,3.0629,29.944516,42
26.496171,1571,10.4077,29.946226,42
26.512451,1572,5.1085,29.968386,42
26.528904,1573,4.5274,29.950411,42
26.54438,1574,6.5165,30.026565,42
26.562154,1575,3.6895,29.968916,40
26.578881,1576,5.4802,29.961488,40
26.595583,1577,10.3354,29.927883,40
26.61213,1578,7.8887,29.96941,40
26.628591,1579,7.8451,30.015356,40
26.645664,1580,7.9032,29.950073,40
26.661798,1581,9.5128,29.953563,40
26.678346,1582,4.5244,29.992283,40
26.695412,1583,8.0387,29.977418,40
26.712137,1584,8.175,29.970671,40
26.728036,1585,3.9531,29.990025,40
26.745654,1586,9.0883,29.970758,40
26.761986,1587,7.7851,29.976903,41
26.778788,1588,5.5859,29.956922,41
26.794567,1589,3.8294,29.9761,41
26.812514,1590,4.1474,29.961146,41
26.828829,1591,4.5,29.971569,41
26.845895,1592,5.0201,29.959911,41
26.862574,1593,10.1954,29.955109,41
26.879187,1594,7.0876,29.95077,41
26.896071,1595,9.9292,29.975789,41
26.912425,1596,10.0623,29.979572,41
26.928744,1597,9.8703,29.990742,41
26.945588,1598,7.8872,29.992463,41
26.963447,1599,11.0358,29.96994,40
26.978704,1600,5.3762,29.975726,40
26.996127,1601,3.3444,29.984762,40
27.012675,1602,10.3312,29.983749,40
27.028682,1603,6.7817,29.985079,40
27.04567,1604,5.4575,29.984903,40
27.062576,1605,5.308,29.953366,40
27.078976,1606,8.1989,29.983287,40
27.095709,1607,4.8883,29.957257,40
27.112466,1608,5.0073,29.970536,40
27.128853,1609,6.899,29.983323,40
27.14544,1610,4.9503,30.028365,40
27.162249,1611,5.1066,29.993902,41
27.179885,1612,8.304,29.959881,41
27.195548,1613,6.9496,29.999043,41
27.212329,1614,8.1523,29.982292,41
27.22863,1615,4.4317,29.983587,41
27.245583,1616,7.8552,29.996328,41
27.262544,1617,6.9022,29.980468,41
27.278783,1618,15.6768,29.996814,41
27.29623,1619,6.2173,29.990793,41
27.312204,1620,5.0742,29.971674,41
27.328406,1621,7.7889,30.019495,41
27.345608,1622,16.3956,29.991383,41
27.362367,1623,5.0448,29.995312,42
27.378771,1624,4.4069,29.991279,42
27.394961,1625,4.8542,29.997282,42
27.412719,1626,5.0467,29.989935,42
27.428563,1627,4.4763,29.999196,42
27.445572,1628,4.9651,29.996241,42
27.462873,1629,5.4441,29.98249,42
27.478816,1630,6.8698,30.016915,42
27.496205,1631,7.2082,30.000957,42
27.512707,1632,8.5639,29.991036,42
27.529292,1633,5.4473,29.991851,42
27.545019,1634,8.65,29.979641,42
27.561959,1635,7.955,30.013179,40
