Black Myth:Wukong,Final Fantasy XVI,RDR2,frametime1
5.73914,6.73,6.34,16.66666667
5.988273333,6.85,6.05,16.66666667
6.001115,7.16,5.37,16.66666667
5.933133333,7.15,5.49,16.66666667
6.548176667,7.22,5.52,16.66666667
6.690631667,6.99,5.44,16.66666667
6.987486667,7.19,5.63,16.66666667
6.891228333,7.02,5.69,16.66666667
6.470253333,7.33,5.51,16.66666667
6.458655,7.26,5.52,16.66666667
6.055435,7.12,5.69,16.66666667
5.758348333,6.77,5.27,16.66666667
5.446288333,6.64,5.52,16.66666667
6.198191667,6.93,5.45,16.66666667
8.947293333,6.48,5.41,16.66666667
9.370641667,6.82,5.64,16.66666667
9.120095,7.02,5.53,16.66666667
9.451583333,6.76,5.66,16.66666667
9.413125,7.31,5.65,16.66666667
9.331301667,7,5.65,16.66666667
9.024031667,7.5,5.65,16.66666667
9.220943333,7.51,5.51,16.66666667
9.15697,7.56,5.69,16.66666667
8.930243333,6.97,6.54,16.66666667
8.874076667,7.15,5.61,16.66666667
8.441078333,6.7,5.16,16.66666667
8.023013333,7.13,5.3,16.66666667
5.5746,7.33,5.13,16.66666667
7.929843333,6.83,5.21,16.66666667
8.89416,6.51,5.22,16.66666667
9.15939,6.55,5.25,16.66666667
8.86266,7.39,5.35,16.66666667
7.428943333,6.58,5.14,16.66666667
7.409258333,6.71,5.3,16.66666667
7.06846,7.11,5.13,16.66666667
7.703415,7.1,5.16,16.66666667
7.265976667,7.32,5.27,16.66666667
7.453745,7.26,5.24,16.66666667
7.465878333,7.44,5.13,16.66666667
6.798626667,7.07,5.19,16.66666667
7.663465,7.45,5.27,16.66666667
7.718208333,6.53,5.31,16.66666667
9.155856667,6.97,5.36,16.66666667
9.146626667,6.6,5.26,16.66666667
8.993818333,6.91,5.42,16.66666667
8.394288333,6.53,5.08,16.66666667
7.774818333,6.91,5.11,16.66666667
8.215606667,6.74,5.69,16.66666667
9.283866667,6.96,6.3,16.66666667
9.265065,6.44,5.85,16.66666667
9.237783333,6.8,5.71,16.66666667
9.18762,6.99,5.98,16.66666667
9.31761,7.33,5.77,16.66666667
10.270485,6.86,5.98,16.66666667
9.15836,7.05,5.67,16.66666667
8.017686667,6.89,5.76,16.66666667
7.630578333,6.85,5.89,16.66666667
7.870336667,6.77,5.69,16.66666667
7.826098333,6.67,5.5,16.66666667
7.766295,7.05,5.31,16.66666667
8.004258333,7.32,5.51,16.66666667
8.144706667,6.48,5.24,16.66666667
8.189578333,6.55,5.26,16.66666667
7.711651667,7.07,5.33,16.66666667
7.551543333,6.71,5.31,16.66666667
7.673558333,6.63,5.32,16.66666667
7.817453333,6.87,5.18,16.66666667
7.81241,7.36,5.28,16.66666667
8.960013333,6.94,5.17,16.66666667
9.333336667,7,5.21,16.66666667
9.28668,6.93,5.2,16.66666667
9.446085,6.9,5.35,16.66666667
9.567331667,6.79,6,16.66666667
